Warhead,SMILES
8QV,['CC#Cc1cc(cnc1)c2ccc3c(c2)[C@@]4(COC(=N4)N)c5cc(ncc5O3)C6=CCOCC6']
8T3,['C[C@]1(C[C@@H]2C[C@@H]2C(=N1)N)c3cc(ccc3F)NC(=O)c4ccc(cn4)Cl']
8W4,['CCc1cn2c3c1cc(cc3N(S(=O)(=O)C(C2)(C)C)C)C(=O)N[C@@H](Cc4ccccc4)[C@@H]([C@H]5C(=O)N(CCN5)Cc6ccccc6)O']
916,['CC(=O)N[C@@H](Cc1ccccc1)[C@@H](CN[C@H]2CC(Oc3c2cc(s3)CC(C)(C)C)(C)C)O']
929,['CC(C)[C@@H](C(=O)NCc1ccccc1)NC(=O)[C@H](C)C[C@@H]([C@H](COCc2cc(cc(c2)F)F)NC(=O)c3cc(cc(c3)N(C)S(=O)(=O)C)C(=O)N[C@H](C)c4ccccc4)O']
954,['[H]/N=C/1\\N[C@]2(CN(C[C@H]2C(=O)N1C)c3nc(c(c(n3)SC)F)C)c4ccc(s4)C#N']
957,['CC(=O)N[C@@H](Cc1cc(cc(c1)F)F)[C@@H](CNC2(CC2)c3cc(cs3)CC(C)(C)C)O']
996,['CC(=O)N[C@@H](Cc1ccccc1)[C@@H](CN[C@H]2CC(Cc3c2cn(n3)CC(C)(C)C)(C)C)O']
9IP,['COc1cc(cnc1)c2cccc(c2)CNc3cccnc3N']
AA9,['CCNc1cc(cc(c1)N(c2ccccc2)S(=O)(=O)C)C(=O)N[C@@H](Cc3ccccc3)[C@@H](CN[C@@H](C)C(=O)NC4CCCCC4)O']
AED,['c1cc(c(cc1CCN)C2CCCCC2)O']
AEF,['c1cc(ccc1CCN)O']
AEG,['C[C@H](Cc1ccc(cc1)O)N']
AEH,['CCc1cc(ccc1O)CCN']
AFJ,['CCCCNC(=O)[C@H](C)C[C@@H]([C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)CCC(C)C)O']
AR9,['CCCCNC(=O)[C@H](C)C[C@@H]([C@@H]1C[C@@H](CCCCCCCC(=O)N[C@H](C(=O)N1)C)C)O']
AXF,['CCCCNC(=O)[C@H](C)C[C@@H]([C@@H]1CSC\\C=C\\CS[C@H]2CCCN[C@H]2C(=O)N[C@H](C(=O)N1)C)O']
AXQ,['CCCCNC(=O)[C@H](C(C)C)NC(=O)[C@H](C)C[C@@H]([C@@H]1CSC\\C=C\\CSC[C@@H](C(=O)N[C@H](C(=O)N1)C)NC(=O)OC(C)(C)C)O']
