protein,pdb,chain,ligand,MW,Name
CRBN,5yiz,e,EF2,258.229,S-Thalidomide
CRBN,5yiz,h,EF2,258.229,S-Thalidomide
CRBN,5yiz,k,EF2,258.229,S-Thalidomide
CRBN,5yiz,n,EF2,258.229,S-Thalidomide
CRBN,5yiz,q,EF2,258.229,S-Thalidomide
CRBN,5yiz,t,EF2,258.229,S-Thalidomide
CRBN,5oh7,A,HYN,100.076,"imidazolidine-2,4-dione"
CRBN,5oh7,B,HYN,100.076,"imidazolidine-2,4-dione"
CRBN,5v3o,C,8W7,449.499,"(3S)-3-[4-({4-[(morpholin-4-yl)methyl]phenyl}methoxy)-1-oxo-1,3-dihydro-2H-isoindol-2-yl]piperidine-2,6-dione"
CRBN,5oh1,A,EF2,258.229,S-Thalidomide
CRBN,5oh1,B,EF2,258.229,S-Thalidomide
CRBN,5oh1,C,9UQ,232.278,"(3~{R})-3-(4-aminophenyl)-3-ethyl-piperidine-2,6-dione"
CRBN,5yj0,A,EF2,258.229,S-Thalidomide
